"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6349","Verify text for all nav links","chromium","Thu Aug 28 08:14:27 BST 2025","passed","Thu Aug 28 08:14:34 BST 2025","FirstTest","FirstTest.spec.ts","",""
"","23333","Fill Contacts Form","chromium","Thu Aug 28 08:14:13 BST 2025","passed","Thu Aug 28 08:14:37 BST 2025","FirstTest","contact.spec.ts","",""
"","14300","Launch Home page and validate the title","chromium","Thu Aug 28 08:14:13 BST 2025","passed","Thu Aug 28 08:14:27 BST 2025","FirstTest","FirstTest.spec.ts","",""
"","6685","Should upload a Errors.png File","chromium","Thu Aug 28 08:14:34 BST 2025","passed","Thu Aug 28 08:14:41 BST 2025","Upload File Functionality validation","UploadFile.spec.ts","",""
"","22106","Blog validation","chromium","Thu Aug 28 08:14:13 BST 2025","failed","Thu Aug 28 08:14:35 BST 2025","FirstTest","blog.spec.ts","",""
"","10152","Verify home link is enabled using text and css selector","chromium","Thu Aug 28 08:14:17 BST 2025","passed","Thu Aug 28 08:14:27 BST 2025","FirstTest","FirstTest.spec.ts","",""
"","13897","Validating text using Text selector","chromium","Thu Aug 28 08:14:13 BST 2025","passed","Thu Aug 28 08:14:27 BST 2025","FirstTest","FirstTest.spec.ts","",""
"","3075","has title","chromium","Thu Aug 28 08:14:13 BST 2025","passed","Thu Aug 28 08:14:16 BST 2025","","example.spec.ts","",""
"","6071","Print all the links","chromium","Thu Aug 28 08:14:28 BST 2025","passed","Thu Aug 28 08:14:34 BST 2025","FirstTest","FirstTest.spec.ts","",""
"","6","get started link","chromium","Thu Aug 28 08:14:12 BST 2025","skipped","Thu Aug 28 08:14:12 BST 2025","","example.spec.ts","",""
"","12040","Fill Contacts Form","chromium","Thu Aug 28 08:14:28 BST 2025","passed","Thu Aug 28 08:14:40 BST 2025","FirstTest","FirstTest.spec.ts","",""
"","6397","Should upload a Errors1.png File","chromium","Thu Aug 28 08:14:34 BST 2025","passed","Thu Aug 28 08:14:40 BST 2025","Upload File Functionality validation","UploadFile.spec.ts","",""
"","14316","Click Get Started Button using CSS selector","chromium","Thu Aug 28 08:14:13 BST 2025","passed","Thu Aug 28 08:14:27 BST 2025","FirstTest","FirstTest.spec.ts","",""
"","0","Should upload a File (By DoM Manipulation upload) hidden input field","chromium","Thu Aug 28 08:14:37 BST 2025","skipped","Thu Aug 28 08:14:37 BST 2025","Upload File Functionality validation","UploadFile.spec.ts","",""
"","6378","Verify search icon is visible","chromium","Thu Aug 28 08:14:27 BST 2025","passed","Thu Aug 28 08:14:33 BST 2025","FirstTest","FirstTest.spec.ts","",""
"","6822","Blog validation","chromium","Thu Aug 28 08:14:33 BST 2025","failed","Thu Aug 28 08:14:40 BST 2025","FirstTest","FirstTest.spec.ts","",""
